 q      C(qinv)
  2.5  0.00032
  7.5  0.17189
 12.5  0.38496
 17.5  0.46873
 22.5  0.50228
 27.5  0.52399
 32.5  0.55833
 37.5  0.59934
 42.5  0.64409
 47.5  0.69173
 52.5  0.73623
 57.5  0.77744
 62.5  0.81252
 67.5  0.84414
 72.5  0.87028
 77.5  0.89299
 82.5  0.91057
 87.5  0.92586
 92.5  0.93777
 97.5  0.94870
102.5  0.95638
107.5  0.96284
112.5  0.96833
117.5  0.97331
122.5  0.97698
127.5  0.97897
132.5  0.98111
137.5  0.98281
142.5  0.98437
147.5  0.98541
152.5  0.98527
157.5  0.98564
162.5  0.98622
167.5  0.98731
172.5  0.98722
177.5  0.98832
182.5  0.98850
187.5  0.98962
192.5  0.98938
197.5  0.99041
